"tag";"x";"y";"record_timestamp";"date";"Y";"m";"d";"H";"M";"S";"num";"timediff"
"2f7b";14,22;18,32;1638055062,044;2021-11-28 00:17:42;"2021";"11";"28";"00";"17";"42";1;0
"2f7b";14,41;18,43;1638055071,644;2021-11-28 00:17:51;"2021";"11";"28";"00";"17";"51";2;9,60000014305115
"2f7b";14,4;18,44;1638055071,843;2021-11-28 00:17:51;"2021";"11";"28";"00";"17";"51";3;0,198999881744385
"2f7b";14,39;18,43;1638055072,043;2021-11-28 00:17:52;"2021";"11";"28";"00";"17";"52";4;0,200000047683716
"2f7b";14,38;18,43;1638055072,244;2021-11-28 00:17:52;"2021";"11";"28";"00";"17";"52";5;0,200999975204468
"2f7b";14,38;18,43;1638055072,443;2021-11-28 00:17:52;"2021";"11";"28";"00";"17";"52";6;0,199000120162964
"2f7b";14,39;18,43;1638055072,644;2021-11-28 00:17:52;"2021";"11";"28";"00";"17";"52";7;0,200999975204468
"2f7b";14,4;18,44;1638055072,843;2021-11-28 00:17:52;"2021";"11";"28";"00";"17";"52";8;0,198999881744385
"2f7b";14,41;18,43;1638055073,043;2021-11-28 00:17:53;"2021";"11";"28";"00";"17";"53";9;0,200000047683716
"2f7b";14,37;18,43;1638055073,243;2021-11-28 00:17:53;"2021";"11";"28";"00";"17";"53";10;0,200000047683716
"2f7b";14,36;18,43;1638055073,443;2021-11-28 00:17:53;"2021";"11";"28";"00";"17";"53";11;0,200000047683716
"2f7b";14,41;18,43;1638055073,644;2021-11-28 00:17:53;"2021";"11";"28";"00";"17";"53";12;0,200999975204468
"2f7b";14,41;18,43;1638055073,844;2021-11-28 00:17:53;"2021";"11";"28";"00";"17";"53";13;0,200000047683716
"2f7b";14,4;18,44;1638055074,044;2021-11-28 00:17:54;"2021";"11";"28";"00";"17";"54";14;0,199999809265137
"2f7b";14,39;18,43;1638055074,244;2021-11-28 00:17:54;"2021";"11";"28";"00";"17";"54";15;0,200000047683716
